INCHIKEY	CID	Metabolite name	pvaluePre	pvalueStress	pvaluePost	log2FCPre	log2FCStress	log2FCPost	qvaluePre	qvalueStress	qvaluePost
DKPMWHFRUGMUKF-GDYCBZMLSA-N	5283852	alpha-Muricholic acid	0.0030911536298000035	0.009556963396433376	0.003905082821364393	-0.7180256483797995	-0.6196852932458994	-0.6981857177599851	0.0307692220810201	0.062120262076816944	0.050865909694632214
BHQCQFFYRZLCQQ-OELDTZBJSA-N	221493	Cholic Acid	0.011724213284011575	0.012206543057184317	0.04008493155440332	-1.8001114210481866	-1.7890287728327234	-1.443844738192579	0.04572443180764514	0.06800788274716976	0.1421193027837936
RFDAIACWWDREDC-FRVQLJSFSA-N	10140	Glycocholic acid	0.0005980900058510603	0.0016657004223648542	0.0013775433191711743	-1.1189666991232117	-1.0056624956657514	-1.0268894604374255	0.023325510228191352	0.03248115823611466	0.050865909694632214
GHCZAUBVMUEKKP-GYPHWSFCSA-N	12544	Glycochenodeoxycholic Acid	0.0012386823329244565	0.0044851285505781505	0.007679281892485005	-0.7951406467526547	-0.6834395730088769	-0.6350238549659475	0.024154305492026903	0.058306671157515956	0.06304801887795419
WVULKSPCQVQLCU-BUXLTGKBSA-N	3035026	Glycodeoxycholic Acid	0.00767807459856371	0.0007846690130660988	0.016134178725850965	-0.5565652575517357	-0.7307461691593007	-0.4958401686161331	0.0349942555011069	0.03060209150957785	0.0818061183079165
WBWWGRHZICKQGZ-HZAMXZRMSA-N	6675	Taurocholic acid	0.0035499884115738436	0.017587528305065377	0.016780742217008513	-2.6905497827852902	-2.13020765077166	-2.1474398031492385	0.0307692220810201	0.08573920048719372	0.0818061183079165
AWDRATDZQPNJFN-VAYUFCLWSA-N	2733768	Taurodeoxycholic acid	0.007751659759555054	0.028252737302560255	0.033726534295653185	-2.005429641636536	-1.625303124498335	-1.5696919126011237	0.0349942555011069	0.12242852831109442	0.1421193027837936
XOAAWQZATWQOTB-UHFFFAOYSA-N	1123	Taurine	0.005837042587193854	0.1325478987999603	0.2037119334502875	-1.9676541604612292	-1.0194573856589346	-0.856194057960233	0.0349942555011069	0.3040804737175559	0.39723827022806063
AYFVYJQAPQTCCC-GBXIJSLDSA-N	6288	Threonine	0.0039447720616692435	0.07589955991068978	0.17415761552911493	0.2963674549730416	0.17355610699725033	0.13123387520478624	0.0307692220810201	0.22769867973206934	0.35748142134923594
KDXKERNSBIXSRK-YFKPBYRVSA-N	5962	Lysine	0.008075597423332363	0.5711700148334132	0.5992105158933223	0.4467051592929925	0.0895493813960031	0.08306422748133202	0.0349942555011069	0.7024822224844086	0.743670021698278
